DataHora,Protocolo,IP_Origem,Porta_Origem,IP_Destino,Porta_Destino,Tamanho
2025-06-23 10:05:20,TCP,192.168.0.15,46420,172.217.28.34,443,263
2025-06-23 10:05:20,UDP,192.168.0.15,58662,181.213.132.5,53,62
2025-06-23 10:05:20,UDP,181.213.132.5,53,192.168.0.15,58662,119
2025-06-23 10:05:20,TCP,172.217.28.34,443,192.168.0.15,46420,32
2025-06-23 10:05:20,TCP,172.217.28.34,443,192.168.0.15,46420,102
2025-06-23 10:05:20,TCP,192.168.0.15,46420,172.217.28.34,443,32
2025-06-23 10:05:20,TCP,172.217.28.34,443,192.168.0.15,46420,105
2025-06-23 10:05:20,TCP,192.168.0.15,46420,172.217.28.34,443,32
2025-06-23 10:05:20,TCP,172.217.28.34,443,192.168.0.15,46420,63
2025-06-23 10:05:20,TCP,172.217.28.34,443,192.168.0.15,46420,71
2025-06-23 10:05:20,TCP,192.168.0.15,46420,172.217.28.34,443,32
2025-06-23 10:05:20,TCP,192.168.0.15,46420,172.217.28.34,443,32
2025-06-23 10:05:20,TCP,192.168.0.15,46420,172.217.28.34,443,71
2025-06-23 10:05:20,TCP,172.217.28.34,443,192.168.0.15,46420,32
2025-06-23 10:05:21,TCP,192.168.0.15,40932,3.218.192.175,443,32
2025-06-23 10:05:21,TCP,3.218.192.175,443,192.168.0.15,40932,32
2025-06-23 10:05:22,ICMP,192.168.0.15,,8.8.8.8,,64
2025-06-23 10:05:22,ICMP,8.8.8.8,,192.168.0.15,,64
2025-06-23 10:05:22,UDP,192.168.0.12,35886,192.168.0.255,15600,43
2025-06-23 10:05:23,ICMP,192.168.0.15,,8.8.8.8,,64
2025-06-23 10:05:23,TCP,192.168.0.15,51434,104.18.19.125,443,392
2025-06-23 10:05:23,TCP,192.168.0.15,51434,104.18.19.125,443,63
2025-06-23 10:05:23,TCP,104.18.19.125,443,192.168.0.15,51434,67
2025-06-23 10:05:23,TCP,192.168.0.15,51434,104.18.19.125,443,32
2025-06-23 10:05:23,TCP,104.18.19.125,443,192.168.0.15,51434,67
2025-06-23 10:05:23,TCP,192.168.0.15,51434,104.18.19.125,443,32
2025-06-23 10:05:23,ICMP,8.8.8.8,,192.168.0.15,,64
2025-06-23 10:05:23,TCP,104.18.19.125,443,192.168.0.15,51434,32
2025-06-23 10:05:23,TCP,104.18.19.125,443,192.168.0.15,51434,113
2025-06-23 10:05:23,TCP,192.168.0.15,51434,104.18.19.125,443,32
2025-06-23 10:05:24,ICMP,192.168.0.15,,8.8.8.8,,64
2025-06-23 10:05:24,ICMP,8.8.8.8,,192.168.0.15,,64
2025-06-23 10:05:25,ICMP,192.168.0.15,,8.8.8.8,,64
2025-06-23 10:05:25,ICMP,8.8.8.8,,192.168.0.15,,64
2025-06-23 10:05:25,UDP,192.168.0.15,34741,181.213.132.5,53,48
2025-06-23 10:05:25,UDP,192.168.0.15,46675,181.213.132.5,53,48
2025-06-23 10:05:25,UDP,181.213.132.5,53,192.168.0.15,34741,144
2025-06-23 10:05:25,UDP,181.213.132.5,53,192.168.0.15,46675,216
2025-06-23 10:05:25,TCP,192.168.0.15,51358,96.7.128.198,80,40
2025-06-23 10:05:25,TCP,96.7.128.198,80,192.168.0.15,51358,40
2025-06-23 10:05:25,TCP,192.168.0.15,51358,96.7.128.198,80,20
2025-06-23 10:05:25,UDP,192.168.0.15,33507,181.213.132.5,53,47
2025-06-23 10:05:25,UDP,181.213.132.5,53,192.168.0.15,33507,63
2025-06-23 10:05:25,UDP,192.168.0.15,47902,181.213.132.5,53,47
2025-06-23 10:05:25,UDP,181.213.132.5,53,192.168.0.15,47902,75
2025-06-23 10:05:28,TCP,192.168.0.15,51434,104.18.19.125,443,391
2025-06-23 10:05:28,TCP,192.168.0.15,51434,104.18.19.125,443,63
2025-06-23 10:05:28,TCP,104.18.19.125,443,192.168.0.15,51434,32
2025-06-23 10:05:28,TCP,104.18.19.125,443,192.168.0.15,51434,113
2025-06-23 10:05:28,UDP,192.168.0.12,48549,192.168.0.255,15600,43
2025-06-23 10:05:28,TCP,192.168.0.15,51434,104.18.19.125,443,32
2025-06-23 10:05:29,TCP,192.168.0.15,44548,34.196.179.194,443,32
2025-06-23 10:05:29,TCP,34.196.179.194,443,192.168.0.15,44548,32
2025-06-23 10:05:30,TCP,99.83.165.34,443,192.168.0.15,48178,71
2025-06-23 10:05:30,TCP,192.168.0.15,48178,99.83.165.34,443,32
2025-06-23 10:05:30,TCP,99.83.165.34,443,192.168.0.15,48178,56
2025-06-23 10:05:30,TCP,192.168.0.15,48178,99.83.165.34,443,32
2025-06-23 10:05:30,TCP,99.83.165.34,443,192.168.0.15,48178,32
2025-06-23 10:05:30,TCP,192.168.0.15,48178,99.83.165.34,443,71
2025-06-23 10:05:30,TCP,192.168.0.15,48178,99.83.165.34,443,56
2025-06-23 10:05:30,TCP,99.83.165.34,443,192.168.0.15,48178,32
2025-06-23 10:05:30,TCP,192.168.0.15,48178,99.83.165.34,443,44
2025-06-23 10:05:30,TCP,99.83.165.34,443,192.168.0.15,48178,32
2025-06-23 10:05:30,TCP,99.83.165.34,443,192.168.0.15,48178,32
2025-06-23 10:05:33,TCP,192.168.0.15,51434,104.18.19.125,443,391
2025-06-23 10:05:33,TCP,192.168.0.15,51434,104.18.19.125,443,63
2025-06-23 10:05:33,TCP,104.18.19.125,443,192.168.0.15,51434,32
2025-06-23 10:05:33,TCP,104.18.19.125,443,192.168.0.15,51434,67
2025-06-23 10:05:33,TCP,192.168.0.15,51434,104.18.19.125,443,32
2025-06-23 10:05:33,TCP,104.18.19.125,443,192.168.0.15,51434,67
2025-06-23 10:05:33,TCP,192.168.0.15,51434,104.18.19.125,443,32
2025-06-23 10:05:33,TCP,104.18.19.125,443,192.168.0.15,51434,32
2025-06-23 10:05:33,TCP,104.18.19.125,443,192.168.0.15,51434,113
2025-06-23 10:05:33,TCP,192.168.0.15,51434,104.18.19.125,443,32
2025-06-23 10:05:34,UDP,192.168.0.12,37411,192.168.0.255,15600,43
2025-06-23 10:05:35,TCP,192.168.0.15,48720,3.208.180.91,443,32
2025-06-23 10:05:35,TCP,3.208.180.91,443,192.168.0.15,48720,32
2025-06-23 10:05:38,TCP,192.168.0.15,51434,104.18.19.125,443,391
2025-06-23 10:05:38,TCP,192.168.0.15,51434,104.18.19.125,443,63
2025-06-23 10:05:38,TCP,104.18.19.125,443,192.168.0.15,51434,32
2025-06-23 10:05:38,TCP,104.18.19.125,443,192.168.0.15,51434,32
2025-06-23 10:05:38,TCP,104.18.19.125,443,192.168.0.15,51434,67
