DataHora,Protocolo,IP_Origem,Porta_Origem,IP_Destino,Porta_Destino,Tamanho
2025-06-23 15:09:01,TCP,192.168.0.15,52692,104.18.18.125,443,63
2025-06-23 15:09:01,TCP,192.168.0.15,52692,104.18.18.125,443,212
2025-06-23 15:09:02,TCP,172.31.66.101,35470,185.125.190.98,80,40
2025-06-23 15:09:02,TCP,172.31.66.101,41402,34.107.221.82,80,40
2025-06-23 15:09:02,TCP,172.31.66.101,41404,34.107.221.82,80,40
2025-06-23 15:09:02,TCP,192.168.0.15,52692,104.18.18.125,443,212
2025-06-23 15:09:02,TCP,192.168.0.15,38790,3.217.118.9,443,44
2025-06-23 15:09:03,TCP,192.168.0.15,38790,3.217.118.9,443,1452
2025-06-23 15:09:03,TCP,172.31.66.101,41402,34.107.221.82,80,40
2025-06-23 15:09:03,TCP,172.31.66.101,35470,185.125.190.98,80,40
2025-06-23 15:09:03,TCP,192.168.0.15,52534,34.107.221.82,80,212
2025-06-23 15:09:03,TCP,192.168.0.15,52692,104.18.18.125,443,212
2025-06-23 15:09:03,TCP,172.31.66.101,41404,34.107.221.82,80,40
2025-06-23 15:09:04,TCP,172.31.66.101,41402,34.107.221.82,80,40
2025-06-23 15:09:04,TCP,172.31.66.101,51940,91.189.91.49,80,40
2025-06-23 15:09:04,TCP,172.31.66.101,35980,34.107.243.93,443,40
2025-06-23 15:09:04,TCP,172.31.66.101,41404,34.107.221.82,80,40
2025-06-23 15:09:04,TCP,172.31.66.101,35984,34.107.243.93,443,40
2025-06-23 15:09:05,TCP,172.31.66.101,35470,185.125.190.98,80,40
2025-06-23 15:09:05,TCP,192.168.0.15,52692,104.18.18.125,443,212
2025-06-23 15:09:05,TCP,172.31.66.101,51940,91.189.91.49,80,40
2025-06-23 15:09:05,TCP,172.31.66.101,35980,34.107.243.93,443,40
2025-06-23 15:09:05,TCP,172.31.66.101,35984,34.107.243.93,443,40
2025-06-23 15:09:06,TCP,192.168.0.15,38790,3.217.118.9,443,44
2025-06-23 15:09:06,TCP,172.31.66.101,41402,34.107.221.82,80,40
2025-06-23 15:09:06,TCP,172.31.66.101,51940,91.189.91.49,80,40
2025-06-23 15:09:06,TCP,172.31.66.101,35980,34.107.243.93,443,40
2025-06-23 15:09:06,TCP,192.168.0.15,38790,3.217.118.9,443,1452
2025-06-23 15:09:06,TCP,172.31.66.101,41404,34.107.221.82,80,40
2025-06-23 15:09:06,TCP,172.31.66.101,35984,34.107.243.93,443,40
2025-06-23 15:09:07,TCP,172.31.66.101,51940,91.189.91.49,80,40
