DataHora,Protocolo,IP_Origem,IP_Destino,Protocolo_Num,Tamanho
2025-06-23 10:05:20,IPv4,192.168.0.15,172.217.28.34,6,283
2025-06-23 10:05:20,IPv4,192.168.0.15,181.213.132.5,17,82
2025-06-23 10:05:20,IPv4,181.213.132.5,192.168.0.15,17,139
2025-06-23 10:05:20,IPv4,172.217.28.34,192.168.0.15,6,52
2025-06-23 10:05:20,IPv4,172.217.28.34,192.168.0.15,6,122
2025-06-23 10:05:20,IPv4,192.168.0.15,172.217.28.34,6,52
2025-06-23 10:05:20,IPv4,172.217.28.34,192.168.0.15,6,125
2025-06-23 10:05:20,IPv4,192.168.0.15,172.217.28.34,6,52
2025-06-23 10:05:20,IPv4,172.217.28.34,192.168.0.15,6,83
2025-06-23 10:05:20,IPv4,172.217.28.34,192.168.0.15,6,91
2025-06-23 10:05:20,IPv4,192.168.0.15,172.217.28.34,6,52
2025-06-23 10:05:20,IPv4,192.168.0.15,172.217.28.34,6,52
2025-06-23 10:05:20,IPv4,192.168.0.15,172.217.28.34,6,91
2025-06-23 10:05:20,IPv4,172.217.28.34,192.168.0.15,6,52
2025-06-23 10:05:21,IPv4,192.168.0.15,3.218.192.175,6,52
2025-06-23 10:05:21,IPv4,3.218.192.175,192.168.0.15,6,52
2025-06-23 10:05:22,IPv4,192.168.0.15,8.8.8.8,1,84
2025-06-23 10:05:22,IPv4,8.8.8.8,192.168.0.15,1,84
2025-06-23 10:05:22,IPv4,192.168.0.12,192.168.0.255,17,63
2025-06-23 10:05:23,IPv4,192.168.0.15,8.8.8.8,1,84
2025-06-23 10:05:23,IPv4,192.168.0.15,104.18.19.125,6,412
2025-06-23 10:05:23,IPv4,192.168.0.15,104.18.19.125,6,83
2025-06-23 10:05:23,IPv4,104.18.19.125,192.168.0.15,6,87
2025-06-23 10:05:23,IPv4,192.168.0.15,104.18.19.125,6,52
2025-06-23 10:05:23,IPv4,104.18.19.125,192.168.0.15,6,87
2025-06-23 10:05:23,IPv4,192.168.0.15,104.18.19.125,6,52
