DataHora,Protocolo,IP_Origem,Porta_Origem,IP_Destino,Porta_Destino,Tamanho
2025-06-10 14:09:07,TCP,172.31.66.101,56246,54.88.83.216,443,40
2025-06-10 14:09:07,TCP,172.31.66.101,44578,34.107.221.82,80,40
2025-06-10 14:09:07,TCP,172.31.66.101,44570,34.107.221.82,80,40
2025-06-10 14:09:08,TCP,172.31.66.101,55570,34.107.243.93,443,40
2025-06-10 14:09:08,TCP,172.31.66.101,34068,140.82.114.25,443,40
2025-06-10 14:09:08,TCP,172.31.66.101,55574,34.107.243.93,443,40
2025-06-10 14:09:08,TCP,172.31.66.101,34074,140.82.114.25,443,40
2025-06-10 14:09:08,TCP,172.31.66.101,44536,34.193.251.90,443,40
2025-06-10 14:09:08,TCP,172.31.66.101,40574,172.217.172.174,443,40
2025-06-10 14:09:08,TCP,172.31.66.101,56246,54.88.83.216,443,40
2025-06-10 14:09:08,TCP,172.31.66.101,59634,3.212.203.130,443,40
2025-06-10 14:09:09,TCP,172.31.66.101,36434,34.195.101.164,443,40
2025-06-10 14:09:09,TCP,172.31.66.101,56258,54.88.83.216,443,40
2025-06-10 14:09:09,TCP,172.31.66.101,33830,34.231.37.172,443,40
2025-06-10 14:09:09,TCP,172.31.66.101,56246,54.88.83.216,443,40
2025-06-10 14:09:09,TCP,172.31.66.101,55960,34.202.142.158,443,40
2025-06-10 14:09:10,TCP,192.168.0.15,59098,104.18.18.125,443,423
2025-06-10 14:09:10,ICMP,172.31.66.101,,172.31.66.1,,64
2025-06-10 14:09:10,TCP,172.31.66.101,34648,3.229.32.167,443,40
2025-06-10 14:09:10,TCP,172.31.66.101,45142,34.195.125.182,443,40
2025-06-10 14:09:10,TCP,192.168.0.15,38196,54.204.102.146,443,480
2025-06-10 14:09:10,TCP,172.31.66.101,56246,54.88.83.216,443,40
2025-06-10 14:09:11,ICMP,172.31.66.101,,172.31.66.1,,64
2025-06-10 14:09:11,TCP,172.31.66.101,45142,34.195.125.182,443,40
2025-06-10 14:09:12,TCP,172.31.66.101,55570,34.107.243.93,443,40
